SP;KM ;LOCALIZAÇÃO;MUNICÍPIO;TIPO
SP 073;35,7;-23.152178, -47.256790;Salto;Simples
SP 073;36;-23.154327, -47.258543;Salto;Simples
SP 073;36,5;-23.156347, -47.261614;Salto;Simples
SP 073;37;-23.160226, -47.264834;Salto;Simples
SP 073;37,5;-23.167878, -47.268992;Salto;Simples
SP 073;38;-23.168839, -47.268961;Salto;Simples
SP 073;38,5;-23.170805, -47.269480;Salto;Simples
SP 073;39;-23.171709, -47.268804;Salto;Simples
SP 073;39,5;-23.178815, -47.265868;Salto;Simples
SP 073;41;-23.188759, -47.279236;Salto;Simples
SP 073;41,2;-23.188900, -47.279980;Salto;Simples
SP 079;39;-23.215280, -47.297680;Salto;Dupla
SP 079;40;-23.221250, -47.300680;Salto;Dupla
SP 079;41;-23.225380, -47.301910;Salto;Simples
SP 079;42;-23.232150, -47.304020;Salto;Simples
SP 079;43;-23.239860, -47.304820;Salto;Simples
SP 079;44;-23.246690, -47.304250;Salto;Simples
SP 079;45;-23.254260, -47.301170;Salto;Simples
SP 079;49;-23.287820, -47.293420;Itu;Dupla
SP 079;50;-23.294680, -47.301390;Itu;Dupla
SP 079;51;-23.301910, -47.303610;Itu;Dupla
SP 079;52;-23.310480, -47.304060;Itu;Dupla
SP 079;53;-23.318890, -47.300860;Itu;Dupla
SP 079;54;-23.328070, -47.302790;Itu;Dupla
SP 079;55;-23.336950, -47.306000;Itu;Dupla
SP 079;56;-23.345380, -47.307360;Itu;Dupla
SP 079;57;-23.354590, -47.308950;Itu;Dupla
SP 079;58;-23.362500, -47.308390;Itu;Dupla
SP 079;59;-23.370070, -47.314340;Itu;Dupla
SP 079;60;-23.372560, -47.323650;Itu;Dupla
SP 079;61;-23.378320, -47.330870;Itu;Dupla
SP 079;62;-23.384350, -47.337470;Itu;Dupla
SP 079;63;-23.390600, -47.347500;Itu;Dupla
SP 079;64;-23.396750, -47.354480;Itu;Dupla
SP 079;65;-23.397230, -47.363090;Sorocaba;Dupla
SP 079;66;-23.398050, -47.371630;Sorocaba;Dupla
SP 079;67;-23.402310, -47.380440;Sorocaba;Dupla
SP 079;68;-23.407900, -47.384060;Sorocaba;Dupla
SP 079;69;-23.414160, -47.390350;Sorocaba;Dupla
SP 079;70;-23.415350, -47.401670;Sorocaba;Dupla
SP 079;71;-23.418520, -47.409200;Sorocaba;Dupla
SP 079;72;-23.427270, -47.414940;Sorocaba;Dupla
SP 079;73;-23.434910, -47.415910;Sorocaba;Dupla
SP 079;74;-23.443340, -47.417050;Sorocaba;Dupla
SP 079;75;-23.451700, -47.418170;Sorocaba;Dupla
SP 079;76;-23.461860, -47.422680;Sorocaba;Dupla
SP 079;77;-23.467540, -47.424460;Sorocaba;Dupla
SP 097;0;-23.449260, -47.513530;Sorocaba;Dupla
SP 097;0;-23.449300, -47.513670;Sorocaba;Dupla
SP 097;1;-23.442310, -47.514880;Sorocaba;Dupla
SP 097;1;-23.442450, -47.514910;Sorocaba;Dupla
SP 097;2;-23.436140, -47.511130;Sorocaba;Simples
SP 097;3;-23.426470, -47.517610;Sorocaba;Simples
SP 097;4;-23.417560, -47.520400;Sorocaba;Simples
SP 097;4;-23.417590, -47.520750;Sorocaba;Simples
SP 097;5;-23.406740, -47.521250;Sorocaba;Simples
SP 097;6;-23.400600, -47.516700;Sorocaba;Simples
SP 097;7;-23.392440, -47.516460;Sorocaba;Simples
SP 097;8;-23.382440, -47.517540;Sorocaba;Simples
SP 097;9;-23.374910, -47.526390;Sorocaba;Simples
SP 097;10;-23.368020, -47.532800;Porto Feliz;Simples
SP 097;11;-23.360010, -47.533830;Porto Feliz;Simples
SP 097;12;-23.353500, -47.531090;Porto Feliz;Simples
SP 097;13;-23.353500, -47.531090;Porto Feliz;Simples
SP 097;14;-23.342910, -47.529180;Porto Feliz;Simples
SP 097;15;-23.328100, -47.528640;Porto Feliz;Simples
SP 097;16;-23.317950, -47.531610;Porto Feliz;Simples
SP 097;17;-23.309160, -47.533250;Porto Feliz;Simples
SP 097;18;-23.300050, -47.533340;Porto Feliz;Simples
SP 097;19;-23.290900, -47.529530;Porto Feliz;Simples
SP 097;20;-23.282830, -47.526230;Porto Feliz;Simples
SP 097;21;-23.273650, -47.522430;Porto Feliz;Simples
SP 097;22;-23.264760, -47.521150;Porto Feliz;Simples
SP 097;23;-23.256170, -47.520630;Porto Feliz;Dupla
SP 097;23;-23.255890, -47.520630;Porto Feliz;Dupla
SP 097;24;-23.246870, -47.517450;Porto Feliz;Dupla
SP 097;24;-23.248830, -47.518180;Porto Feliz;Dupla
SP 097;25;-23.238030, -47.517910;Porto Feliz;Dupla
SP 097;25;-23.237610, -47.518170;Porto Feliz;Dupla
SP 127;213,5;-23.990330, -48.329090;Capão Bonito;Dupla
SP 127;213,5;-23.989540, -48.328130;Capão Bonito;Dupla
SP 127;214;-23.993630, -48.332130;Capão Bonito;Dupla
SP 127;214;-23.993250, -48.331600;Capão Bonito;Dupla
SP 127;215;-23.999860, -48.336950;Capão Bonito;Dupla
SP 127;215;-24.000410, -48.337220;Capão Bonito;Dupla
SP 127;216;-24.007780, -48.341170;Capão Bonito;Dupla
SP 127;216;-24.007850, -48.341130;Capão Bonito;Dupla
SP 129;0;-23.226210, -47.570500;Porto Feliz;Simples
SP 129;1;-23.224150, -47.576040;Porto Feliz;Simples
SP 129;2;-23.227730, -47.580310;Porto Feliz;Simples
SP 129;3;-23.231150, -47.583210;Porto Feliz;Simples
SP 129;4;-23.236010, -47.591750;Porto Feliz;Simples
SP 129;5;-23.245340, -47.608620;Porto Feliz;Simples
SP 129;6;-23.251290, -47.616440;Boituva;Simples
SP 129;7;-23.251620, -47.616650;Boituva;Simples
SP 129;8;-23.260230, -47.632300;Boituva;Simples
SP 129;9;-23.262150, -47.643000;Boituva;Simples
SP 129;10;-23.262180, -47.642950;Boituva;Simples
SP 129;11;-23.268860, -47.663200;Boituva;Simples
SP 129;12;-23.266580, -47.671150;Boituva;Simples
SP 129;12;-23.266580, -47.669630;Boituva;Simples
SP 129;13;-23.270640, -47.680380;Boituva;Simples
SP 129;14;-23.273880, -47.688630;Boituva;Simples
SP 129;15;-23.277540, -47.697530;Boituva;Simples
SP 129;16;-23.283960, -47.710920;Boituva;Simples
SP 129;17;-23.282310, -47.717030;Boituva;Simples
SP 129;18;-23.283290, -47.726270;Boituva;Simples
SP 129;19;-23.285930, -47.734620;Boituva;Simples
SP 129;20;-23.284150, -47.790120;Boituva;Simples
SP 129;21;-23.292610, -47.752560;Boituva;Simples
SP 129;22;-23.296430, -47.762960;Boituva;Simples
SP 129;22;-23.296770, -47.763030;Boituva;Simples
SP 129;23;-23.299610, -47.771260;Tatuí;Simples
SP 129;24;-23.295380, -47.754660;Tatuí;Simples
SP 129;25;-23.306090, -47.788540;Tatuí;Simples
SP 129;26;-23.306150, -47.788670;Tatuí;Simples
SP 129;27;-23.313270, -47.805770;Tatuí;Simples
SP 129;28;-23.313340, -47.805830;Tatuí;Simples
SP 129;29;-23.320570, -47.822970;Tatuí;Simples
SP 129;37,7;-23.359720, -47.890370;Tatuí;Simples
SP 129;38;-23.358730, -47.893330;Tatuí;Simples
SP 129;39;-23.359250, -47.897030;Tatuí;Simples
SP 129;40;-23.359060, -47.902740;Tatuí;Simples
SP 129;41;-23.359250, -47.912010;Tatuí;Simples
SP 129;42;-23.360580, -47.931170;Tatuí;Simples
SP 129;43;-23.360340, -47.931340;Tatuí;Simples
SP 129;44;-23.364960, -47.938660;Tatuí;Simples
SP 129;45;-23.377430, -47.951020;Tatuí;Simples
SP 129;46;-23.382540, -47.959150;Tatuí;Simples
SP 129;47;-23.383270, -47.948260;Tatuí;Simples
SP 129;48;-23.387060, -47.967920;Tatuí;Simples
SP 129;49;-23.383930, -47.983850;Tatuí;Simples
SP 129;50;-23.383000, -47.986270;Tatuí;Simples
SP 129;51;-23.383790, -48.005270;Tatuí;Simples
SP 129;52;-23.383730, -48.005510;Tatuí;Simples
SP 129;53;-23.386140, -48.013260;Tatuí;Simples
SP 129;54;-23.388780, -48.030060;Tatuí;Simples
SP 129;55;-23.395070, -48.030560;Tatuí;Simples
SP 129;56;-23.403420, -48.033260;Tatuí;Simples
SP 129;57;-23.407810, -48.041280;Tatuí;Simples
SP 129;58;-23.415040, -48.043830;Tatuí;Simples
SP 129;59;-23.415050, -48.043810;Itapetininga;Simples
SP 129;60;-23.429420, -48.048300;Itapetininga;Simples
SP 129;61;-23.440200, -48.046560;Itapetininga;Simples
SP 129;62;-23.449060, -48.047990;Itapetininga;Simples
SP 129;63;-23.457630, -48.050410;Itapetininga;Simples
SP 129;64;-23.466370, -48.052610;Itapetininga;Simples
SP 129;65;-23.466360, -48.052590;Itapetininga;Simples
SP 129;66;-23.475320, -48.052910;Itapetininga;Simples
SP 129;67;-23.492180, -48.048340;Itapetininga;Simples
SP 129;68;-23.503220, -48.051730;Itapetininga;Simples
SP 129;69;-23.513870, -48.052440;Itapetininga;Simples
SP 129;70;-23.520470, -48.051880;Itapetininga;Simples
SP 129;71;-23.529190, -48.052820;Itapetininga;Simples
SP 129;72;-23.538860, -48.056430;Itapetininga;Simples
SP 129;73;-23.546870, -48.053940;Itapetininga;Simples
SP 129;74;-23.547190, -48.053860;Itapetininga;Simples
SP 139;67,77;-24.124330, -47.990390;São Miguel Arcanjo;Simples - Intertravado
SP 139;67,77;-24.124580, -47.990560;São Miguel Arcanjo;Simples - Intertravado
SP 139;68;-24.121970, -47.988770;São Miguel Arcanjo;Simples - Intertravado
