Rodovia,Km Inicial,Lat e Long km Inicial,Km Final,Lat e Long km final
SP 129 Vang,"58,100","-23.415050, -48.043810","74,000","-23.547190, -48.053860"
SP 139 Vang,"67,770","-24.124330, -47.990390","121,420","-23.839060, -48.049510"
SP 157 Vang,"6,000","-23.568280, -48.084620","21,650","-23.261190, -48.139230"
SP 189 Vang,"0,000","-23.534090, -48.434020","44,200","-23.799750, -48.584610"
SP 250 Vang,"158,600","-23.858920, -47.843170","201,810","-23.923730, -48.178490"
SP 268 Vang,"140,100","-23.493840, -47.810290","260,800","-23.410980, -48.682470"
SP 270 Vang,"168,210","-23.616100, -48.084280","230,040","-23.476480, -48.633180"
SPA 099/139 Vang,"0,000","-23.889750, -48.010940","2,300","-23.874690, -48.009010"
SPA 142/270 Vang,"0,000","-23.562710, -47.844050","9,800","-23.637810, -47.826340"
SPA 145/270 Vang,"0,000","-23.563620, -47.878050","1,500","-23.560130, -47.878550"
SPA 162/270 Vang,"0,000","-23.597560, -48.031750","1,170","-23.585990, -48.036190"
SPA 173/250 Vang,"0,000","-23.888930, -47.980970","1,600","-23.879890, -47.990750"
SPA 180/250 Vang,"0,000","-23.882750, -48.010120","0,490","-23.882590, -48.006140"
SPA 204/270 Vang,"0,000","-23.528660, -48.394820","5,300","-23.489790, -48.409690"
SPA 205/270 Vang,"0,000","-23.528810, -48.405110","6,350","-23.573020, -48.386510"
SPA 223/270 Vang,"0,000","-23.487640, -48.569400","6,000","-23.441410, -48.598160"
SP 127 Jon,"213,150","-23.989540, -48.328130","215,930","-24.007780, -48.341170"
SP 165 Jon,"168,840","-24.519570, -48.726630","184,580","-24.526860, -48.836620"
SP 181 Jon,"0,000","-24.016970, -48.349420","19,030","-24.160330, -48.348720"
SP 249 Jon,"0,000","-24.499250, -48.842850","24,820","-24.346000, -48.848610"
SP 250 Jon,"201,810","-23.922490, -48.181150","354,940","-24.655980, -49.010120"
SP 252 Jon,"0,000","-24.189260, -48.537020","12,450","-24.182400, -48.633090"
SPA 294/250 Jon,"0,000","-24.400580, -48.645340","20,500","-24.441880, -48.608400"
SP 249 Madri,"24,820","-24.345070, -48.843780","135,370","-23.712230, -49.253960"
SP 252 Madri,"12,450","-24.184270, -48.638390","30,430","-24.217680, -48.767120"
SP 259 Madri,"308,800","-23.915270, -49.051770","353,800","-24.110780, -49.315090"
SP 267 Madri,"322,110","-23.860300, -49.128580","346,500","-24.071390, -49.125090"
SP 275 Madri,"324,500","-23.854580, -49.155640","348,800","-23.877490, -49.366710"
SP 281 Madri,"0,000","-24.097590, -49.332500","43,360","-23.814110, -49.407440"
SPA 039/281 Madri,"0,000","-23.841630, -49.395720","1,000","-23.841590, -49.404530"
SPA 282/258 Madri,"0,000","-23.972750, -48.861840","1,880","-23.975160, -48.868380"
SPA 284/258 Madri,"0,000","-23.965150, -48.880510","0,880","-23.972150, -48.878330"
SPA 112/249 Madri,"0,000","-23.856130, -49.141610","0,900","-23.859780, -49.138570"
SPA 324/259 Madri,"0,000","-24.031630, -49.110570","2,780","-24.043800, -49.091230"
SPA 338/258 Madri,"0,000","-24.097505, -49.332454","0,330","-24.099970, -49.330810"
SPA 341/258 Madri,"0,000","-24.114326, -49.360670","0,700","-24.114280, -49.354170"
SP 073 Obragen,"35,700","-23.153115, -47.257589","41,200","-23.188900, -47.279980"
SP 079 Obragen,"34,750","-23.215280, -47.297680","106,140","-23.627410, -47.461130"
SP 097 Obragen,"0,000","-23.449260, -47.513530","25,460","-23.237612, -47.518075"
SP 129 Obragen,"0,000","-23.226210, -47.570500","22,610","-23.296430, -47.762960"
SP 268 Obragen,"114,830","-23.504730, -47.622110","124,620","-23.487680, -47.663760"
SPA 040/079 Obragen,"0,000","-23.229550, -47.304620","3,450","-23.247980, -47.306480"
